id,domain_id,domain,npc.role,npc.role_style,npc.roleplay_style,dialogue.question_tr,dialogue.question_en,dialogue.answer_tr,dialogue.answer_en,labels.intent,labels.player_intent,labels.emotion,labels.game_context,labels.difficulty_level,tags.tr,tags.en
2348,EXP_GEO_GIR_028,geography,virtual_geography_teacher,analytical,supportive,Coğrafi olayların haritalarla gösterilmesi ne sağlar?,What is the purpose of representing geographical features with maps?,Mekânsal karşılaştırma imkânı sağlar.,It provides the opportunity for spatial comparison.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"harita, karşılaştırma, analiz","map, comparison, analysis"
2673,EXP_GEO_DUN_003,geography,virtual_geography_teacher,simple,supportive,Dünya kaç kıtadan oluşur?,How many continents are there in the world?,Yedi kıtadan oluşur.,It consists of seven continents.,CONCEPT_EXPLAIN,ask_definition,neutral,tutorial,very_easy,"kıta, dünya, temel","continent, world, basis"
2937,EXP_LAB_DEN_001,laboratory,virtual_lab_assistant,responsible,supportive,Çözünme deneyinin temel amacı nedir?,What is the main purpose of the dissolution experiment?,Bir maddenin çözücü içinde dağılmasını gözlemlemek,Observing the dispersion of a substance in a solvent.,EXPERIMENT_BASICS,ask_information,neutral,tutorial,easy,"çözünme, temel_deney, kimya","dissolution, basic_experiment, chemistry"
3144,EXP_LAB_VER_058,laboratory,virtual_lab_assistant,safety_focused,supportive,Gözlem yoluyla hangi tür veri elde edilir?,What types of data are obtained through observation?,Nitel veri,Qualitative data,DATA_COLLECT,ask_information,neutral,tutorial,very_easy,"gözlem, nitel, veri","observation, qualitative, data"
3150,EXP_LAB_VER_064,laboratory,virtual_lab_assistant,safety_focused,supportive,Çizgi grafiği neyi gösterir?,What does a line graph show?,Değişimin zamana bağlılığını,The dependence of change on time,DATA_ANALYZE,ask_information,informative,tutorial,easy,"grafik, değişim, analiz","graph, change, analysis"
3395,EXP_STM_FEN_009,stem,virtual_stem_expert,simple,supportive,STEM’te fen bilimleri teorik mi uygulamalı mı ele alınır?,"In STEM, is science approached theoretically or practically?",Ağırlıklı olarak uygulamalı ele alınır.,It is primarily approached from a practical perspective.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,very_easy,"uygulamali, fen, stem","applied, science, stem"
3577,EXP_STM_MAT_041,stem,virtual_stem_expert,simple,supportive,STEM’te matematiksel modelleme öğrencilerin merakını nasıl destekler?,How does mathematical modeling in STEM foster students' curiosity?,“Ne olur?” sorularına sayısal yanıtlar üretir.,"It produces numerical answers to the question, ""What will happen?"".",CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"merak, sorgulama, matematik","curiosity, inquiry, mathematics"
3735,EXP_STM_SOC_049,stem,virtual_stem_expert,motivational,supportive,STEM becerileri ve sosyal boyut neden öğrenilmelidir?,Why should STEM skills and the social dimension be learned?,Bilimsel ve toplumsal bilinç kazandırmak için.,To raise scientific and social awareness.,LEARNING_MOTIVATION,ask_information,informative,tutorial,easy,"motivasyon, bilinç, stem","motivation, awareness, stem"
4013,EXP_RBT_SEN_047,robotics,virtual_robotics_expert,descriptive,supportive,Sensör bakımının amacı nedir?,What is the purpose of sensor maintenance?,Ölçüm doğruluğunu korumaktır.,The goal is to maintain measurement accuracy.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"bakim, sensor, robotik","maintenance, sensor, robotics"
4125,EXP_RBT_AUT_009,robotics,virtual_robotics_expert,descriptive,supportive,Davranış tabanlı kontrol nedir?,What is behavior-based control?,Robot davranışlarının modüller hâlinde kontrol edilmesidir.,It is the control of robot behavior in modules.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"davranis_tabanli, kontrol, robot","behavior_based, control, robot"
4210,EXP_RBT_LID_044,robotics,virtual_robotics_expert,simple,supportive,Test yapılmazsa ne olur?,What happens if the test isn't done?,Güvensiz ve hatalı sistemler oluşur.,Unsafe and faulty systems are created.,KNOWLEDGE_CHECK,ask_information,neutral,tutorial,very_easy,"risk, guvenlik, robot","risk, security, robot"
4330,EXP_COD_ADP_006,coding,virtual_coding_expert,interactive,supportive,Yanlış tanımlanan bir problem neye yol açar?,What are the consequences of a wrongly defined problem?,Yanlış veya işe yaramayan çözümlere yol açar.,It leads to incorrect or ineffective solutions.,RISK_MANAGEMENT,ask_instruction,cautious,tutorial,easy,"hata, risk, problem_tanimi","error, risk, problem_description"
4604,EXP_COD_FMP_030,coding,virtual_coding_expert,motivational,supportive,Fonksiyonlar problem çözmeyi nasıl geliştirir?,How do functions improve problem-solving?,Problemi küçük ve yöclearilebilir parçalara ayırır.,"It breaks the problem down into small, manageable parts.",LEARNING_SUPPORT,request_help,encouraging,quest_start,easy,"problem_cozme, beceri, ogrenme","problem_solving, skill, learning"
4625,EXP_COD_HAT_001,coding,virtual_coding_expert,explanatory,supportive,Yazılımdaki hataları bulup düzeltme süreci nedir?,What is the process for finding and fixing bugs in software?,Programdaki hataları bulma ve düzeltme sürecidir.,It is the process of finding and correcting errors in the program.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,very_easy,"debug, temel, programlama","debug, basic, programming"
5060,EXP_AIG_NLP_028,artificial_intelligence,aı_guide_expert,academic,supportive,Duygu analizi nedir?,What is sentiment analysis?,Metindeki duygusal tonu belirleme işlemidir.,It is the process of determining the emotional tone in the text.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"duygu_analizi, nlp, metin","emotional_analysis, nlp, text"
5232,EXP_AIG_ETH_050,artificial_intelligence,aı_guide_expert,academic,supportive,Yapay zekâ ve etik bilmek neden önemlidir?,Why is it important to know about artificial intelligence and ethics?,"Teknolojiyi bilinçli, adil ve güvenli kullanmayı sağlar.","It ensures the responsible, fair, and safe use of technology.",CONCEPT_EXPLAIN,ask_instruction,cautious,tutorial,easy,"farkındalık, etik, ai","awareness, ethics, AI"
5276,EXP_AIG_SOC_044,artificial_intelligence,aı_guide_expert,explanatory,supportive,Yapay zekâ bilinçli kullanılır mı?,Can artificial intelligence be used consciously?,Eğitimle bilinçli kullanım sağlanabilir.,Conscious usage can be ensured through education.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"bilinç, toplum, ai","consciousness, society, AI"
5289,EXP_DAT_GIR_007,data_analysis,virtual_data_expert,descriptive,professional,Düzenli veri saklama sistemi ne ad alır?,What is a standardized data storage system called?,"Veri tabanı; sistematik biçimde saklanan, yöclearilebilen ve birbirleriyle ilişkili veriler bütünüdür.","A database is a systematically stored, manageable, and interrelated collection of data.",CONCEPT_EXPLAIN,request_help,neutral,decision_point,medium,"veri_tabani, veri_yoclearimi, temel","database, data_management, basic"
5567,EXP_DAT_OGB_019,data_analysis,virtual_data_expert,instructional,supportive,Belirsizlik ifade edilmezse ne olur?,What happens if uncertainty isn't expressed?,Sonuçlar yanıltıcı olabilir.,The results may be misleading.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"belirsizlik, yaniltici, veri","uncertainty, misleading, data"
5742,EXP_DAT_DAV_044,data_analysis,virtual_data_expert,guiding,supportive,Dijital veri analizi sonuçları raporlanabilir mi?,Can the results of digital data analysis be reported?,"Evet, kolayca raporlanır.","Yes, it's easily reported.",CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"rapor, sonuc, dijital","report, result, digital"
5962,EXP_DES_DEF_048,design_production,virtual_design_expert,supportive,supportive,Problem tanımı bireyin problem algısını nasıl değiştirir?,How does defining a problem change an individual's perception of the problem?,Sorunlara daha sistematik ve derin bakmayı sağlar.,It allows for a more systematic and in-depth look at problems.,REFLECTION,ask_information,informative,tutorial,easy,"problem_algısı, farkındalık, define","problem_perception, awareness, define"
6147,EXP_DES_ITE_033,design_production,virtual_design_expert,guiding,supportive,Çevik düşünme neden esnek hedefler kullanır?,Why does agile thinking use flexible goals?,Değişen koşullara uyum sağlamak için.,To adapt to changing circumstances.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"hedef, uyum, çevik","target, harmony, agile"
6231,EXP_DES_DEC_017,design_production,virtual_design_expert,explanatory,supportive,En iyi çözüm her zaman en yenilikçi çözüm müdür?,Is the best solution always the most innovative one?,"Hayır, en uygun çözüm kullanıcıya en fazla faydayı sağlayandır.","No, the most suitable solution is the one that provides the user with the greatest benefit.",CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"yenilik, uygunluk, çözüm","innovation, suitability, solution"
6442,EXP_ENG_INT_020,engineering,virtual_engineering_expert,analytical,supportive,Sistem entegrasyon testi nedir?,What is system integration testing?,Tüm alt sistemlerin birlikte çalışmasının test edilmesidir.,It is a test to ensure that all subsystems work together.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"entegrasyon_testi, sistem, doğrulama","integration_test, system, verification"
6785,EXP_ENG_SUS_013,engineering,virtual_engineering_expert,simple,supportive,Geri dönüşüm ürün yaşam döngüsünde nerede yer alır?,Where does recycling fit into the product lifecycle?,Yaşam döngüsünün son aşamasında yer alır.,It is located in the final stage of the life cycle.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"geri_dönüşüm, bertaraf, döngü","recycling, disposal, cycle"
6864,EXP_ENG_COM_042,engineering,virtual_engineering_expert,professional,supportive,Sunum geri bildirimleri nasıl değerlendirilmelidir?,How should presentation feedback be evaluated?,İyileştirme fırsatı olarak.,As an opportunity for improvement.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"geri_bildirim, iyileştirme, gelişim","feedback, improvement, development"
6884,EXP_ENR_GIR_012,energy,energy_expert,visual,supportive,Kiclearik enerji nedir?,What is kiclearic energy?,Hareket halindeki cisimlerin sahip olduğu enerjiye kiclearik enerji denir.,The energy possessed by objects in motion is called kiclearic energy.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"kiclearik_enerji, hareket, temel_fizik","kiclearic_energy, motion, basic_physics"
6940,EXP_ENR_SLR_012,energy,energy_expert,explanatory,supportive,Güneş kolektörleri hangi amaçla kullanılır?,What are solar collectors used for?,Isı enerjisi elde etmek için kullanılır.,It is used to obtain thermal energy.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"kolektor, isi_enerjisi, gunes","collector, heat_energy, sun"
6961,EXP_ENR_GEO_001,energy,energy_expert,explanatory,supportive,Jeotermal enerji nedir?,What is geothermal energy?,Yer kabuğunun derinliklerindeki sıcak su ve buhardan elde edilen enerji türüdür.,It is a type of energy obtained from hot water and steam deep within the Earth's crust.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"jeotermal, temel_kavram, yenilenebilir","geothermal, basic_concept, renewable"
7057,EXP_ENV_BIO_001,environment,virtual_environment_expert,guiding,supportive,Ekosistem nedir?,What is an ecosystem?,"Ekosistem, canlılar ile cansız çevre unsurlarının karşılıklı etkileşim içinde bulunduğu doğal sistemdir.",An ecosystem is a natural system in which living organisms and non-living environmental elements interact with each other.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,very_easy,"ekosistem, temel_kavram, denge","ecosystem, basic_concept, balance"
7210,EXP_ENV_AIR_023,environment,virtual_environment_expert,guiding,supportive,Evsel yakıt kullanımı hava kalitesini nasıl etkiler?,How does domestic fuel use affect air quality?,Düşük kaliteli yakıtlar kirliliği artırır.,Low-quality fuels increase pollution.,AWARENESS_BUILD,ask_information,cautious,tutorial,easy,"evsel_yakit, kirlilik, hava","household_fuel, pollution, air"
7489,EXP_ENV_SDX_042,environment,virtual_environment_expert,guiding,supportive,Teknoloji sürdürülebilir kalkınmada nasıl rol oynar?,How does technology play a role in sustainable development?,Verimlilik ve çevre dostu çözümler sağlar.,It provides efficient and environmentally friendly solutions.,CONCEPT_EXPLAIN,ask_information,cautious,tutorial,easy,"teknoloji, verimlilik, surdurulebilirlik","technology, efficiency, sustainability"
7754,EXP_MSM_ART_039,virtual_museum,virtual_museum_expert,guiding,supportive,Sanat tarihinin görsel okuryazarlıkla ilişkisi nedir?,What is the relationship between art history and visual literacy?,Görselleri doğru okuma becerisi kazandırır.,It helps develop the ability to correctly interpret images.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"gorsel_okuryazarlik, okuma, sanat","visual_literacy, reading, art"
8013,EXP_MSM_MDR_048,virtual_museum,virtual_museum_expert,guiding,supportive,Çağdaş sanat müze küratörlüğünü nasıl etkiler?,How does contemporary art influence museum curation?,Yeni sergileme biçimleri gerektirir.,It requires new forms of display.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"kuratorluk, sergileme, cagdas","curatorship, exhibition, contemporary"
8077,EXP_MSM_HRT_012,virtual_museum,virtual_museum_expert,guiding,supportive,Savaşlar kültürel mirası nasıl etkiler?,How do wars affect cultural heritage?,Tahribat ve yok oluşa neden olabilir.,It can cause destruction and devastation.,CONCEPT_EXPLAIN,ask_definition,neutral,tutorial,very_easy,"savas, tahribat, koruma","war, destruction, protection"
8241,EXP_ADS_YNT_026,academic,academic_advisor,guiding,supportive,Araştırma etiği neden önemlidir?,Why is research ethics important?,Katılımcı haklarını ve bilimselliği korur.,It protects participants' rights and scientific integrity.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"etik, araştırma, haklar","ethics, research, rights"
8330,EXP_ADS_APA_015,academic,academic_advisor,systematic,supportive,Araştırma amacı nasıl yazılır?,How to write a research objective?,Fiil odaklı ve açık ifadelerle yazılır.,It is written in a verb-focused and clear manner.,CONCEPT_EXPLAIN,request_help,informative,tutorial,easy,"amaç_yazımı, açıklık, fiil","purpose_writing, clarity, verb"
8497,EXP_ADS_DTA_032,academic,academic_advisor,systematic,supportive,Deney tasarımında ölçüm zamanları neden önemlidir?,Why are measurement times important in experimental design?,Etkinin doğru yakalanmasını sağlar.,It ensures the effect is captured accurately.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"ölçüm_zamanı, doğruluk, etki","measurement_time, accuracy, impact"
8955,EXP_ASS_OUT_004,assessment,assessment_expert,instructional,supportive,Kazanım temelli değerlendirme nedir?,What is achievement-based assessment?,Değerlendirmenin doğrudan kazanımlara dayandırılmasıdır.,The assessment should be based directly on achievements.,CONCEPT_EXPLAIN,ask_definition,neutral,tutorial,easy,"kazanım_tabanlı, ölçme, değerlendirme","achievement_based, measurement, evaluation"
8970,EXP_ASS_OUT_019,assessment,assessment_expert,analytical,supportive,Değerlendirme kazanımlarla eşleştiğinde ne olur?,What happens when the assessment matches the learning outcomes?,Öğrenme doğru şekilde izlenir.,Learning is monitored correctly.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"izleme, uyum, ölçme","monitoring, compliance, measuring"
9298,EXP_ASS_ANA_002,assessment,assessment_expert,descriptive,supportive,Yanıt analizi erken müdahale sağlar mı?,Can response analysis enable early intervention?,"Evet, öğrenme eksikleri erken fark edilir.","Yes, learning disabilities are detected early.",CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"erken_müdahale, eksik, analiz","early_intervention, missing, analysis"
9540,RLP_FRE_GYX_038,health_safety,virtual_fire_expert,leader,supportive,Tatbikat sorumlusu kriz anında karar verir mi?,Does the drill supervisor make decisions in a crisis situation?,"Evet, hızlı ve doğru karar verir.","Yes, it makes quick and accurate decisions.",ACADEMIC_OVERVIEW,ask_instruction,informative,tutorial,easy,"karar, kriz, yetki","decision, crisis, authority"
9603,RLP_FRE_ACX_001,health_safety,virtual_fire_expert,guiding,supportive,Tahliye yolu nedir?,What is the evacuation route?,Acil durumda güvenli çıkışı sağlayan güzergâhtır.,It is a safe exit route in case of emergency.,ACADEMIC_OVERVIEW,ask_definition,informative,tutorial,very_easy,"tahliye, kaçış, güvenlik","evacuation, escape, security"
9984,RLP_FRE_TSD_082,health_safety,virtual_fire_expert,analytical,supportive,Tatbikat raporu denetlenir mi?,Will the exercise report be reviewed?,"Evet, yetkili birimlerce.","Yes, by the relevant authorities.",ACADEMIC_OVERVIEW,ask_instruction,informative,tutorial,easy,"denetim, kontrol, yetki","supervision, control, authority"
10120,RLP_RSC_DSM_018,search_rescue,search_rescue_expert,guiding,supportive,Araç kullanımı neden sınırlandırılmalıdır?,Why should vehicle use be restricted?,Acil ekiplerin ulaşımını engelleyebilir.,It could hinder emergency services from reaching their destinations.,ACADEMIC_OVERVIEW,request_help,informative,tutorial,easy,"ulaşım, acil, afet","transportation, emergency, disaster"
10327,RLP_RSC_GAT_025,search_rescue,search_rescue_expert,guiding,supportive,Arama sırasında neden el işaretleri kullanılır?,Why are hand gestures used during a search?,Sessiz ve hızlı iletişim için.,For quiet and fast communication.,ACADEMIC_OVERVIEW,request_help,informative,tutorial,easy,"el_işareti, iletişim, afet","hand_sign, communication, disaster"
10463,RLP_RSC_YUİ_011,search_rescue,search_rescue_expert,guiding,supportive,Omurga yaralanmasından şüphelenildiğinde ne yapılır?,What should be done when a spinal injury is suspected?,Yaralı sabitlenir ve hareket ettirilmez.,The injured person is immobilized and not moved.,ACADEMIC_OVERVIEW,request_help,cautious,tutorial,easy,"omurga, sabitleme, afet","spine, stabilization, disaster"
10802,RLP_EMR_TGX_050,emergency,emergency_expert,instructional,supportive,Acil servise girişte ilk yapılan işlem nedir?,What is the first procedure performed upon arrival at the emergency room?,Triyaj değerlendirmesidir.,This is a triage assessment.,ACADEMIC_OVERVIEW,ask_information,informative,tutorial,easy,"ilk_adım, triyaj, acil","first_step, triage, emergency"
11070,RLP_EMR_SKA_018,emergency,emergency_expert,instructional,supportive,Bradikardi ne zaman tehlikelidir?,When is bradycardia dangerous?,Hemodinamik bozulma varsa tehlikelidir.,It is dangerous if there is hemodynamic instability.,ACADEMIC_OVERVIEW,ask_instruction,informative,tutorial,easy,"bradikardi, hemodinami, acil","bradycardia, hemodynamics, emergency"
11092,RLP_EMR_SKA_040,emergency,emergency_expert,instructional,supportive,Kardiyovasküler acillerde erken tanı neden önemlidir?,Why is early diagnosis important in cardiovascular emergencies?,Geri dönüşsüz hasarı önlemek için.,To prevent irreversible damage.,ACADEMIC_OVERVIEW,ask_information,cautious,tutorial,easy,"erken_tanı, önleme, acil","early_diagnosis, prevention, emergency"
11542,RLP_PAT_ATX_040,disease,patient_npc,empathetic,supportive,"Doktor hanım, ateşle birlikte bilinç bulanıklığı olursa ne yapmalıyım?","Doctor, what should I do if someone has a fever along with confusion?",Hemen acil servise başvurmalısınız.,You should go to the emergency room immediately.,CAUSE_EFFECT_EXPLAIN,ask_information,anxious,quest_start,easy,"bilinc, acil, hayati","consciousness, urgent, vital"
11562,RLP_PAT_NDX_010,disease,patient_npc,empathetic,supportive,"Doktor hanım, nefes darlığıyla morarma olursa ne anlama gelir?","Doctor, what does it mean if shortness of breath is accompanied by cyanosis (bluish discoloration)?",Oksijen yetersizliğini gösterebilir.,It may indicate oxygen deficiency.,CAUSE_EFFECT_EXPLAIN,ask_information,anxious,quest_start,easy,"morarma, oksijen, acil","bruising, oxygen, emergency"
12042,RLP_PAT_ACX_040,disease,patient_npc,empathetic,supportive,"Doktor hanım, belirtilerin hızla kötüleşmesi neyi gösterir?","Doctor, what does a rapid worsening of symptoms indicate?",İlerleyici ve hayati risk olasılığı artar.,It becomes progressive and the risk of life-threatening complications increases.,CAUSE_EFFECT_EXPLAIN,ask_information,anxious,quest_start,easy,"ilerleyici, risk, acil","progressive, risk, urgent"
12718,RLP_AUT_DEV_032,school_rules,school_principal_expert,responsible,protective,Yarım gün devamsızlık olur mu?,Is half a day of absence acceptable?,"Evet, belirli durumlarda olur.","Yes, it happens in certain situations.",ACADEMIC_OVERVIEW,ask_information,neutral,tutorial,easy,"yari_gun, devamsizlik, okul","half_day, absence, school"
13294,RLP_MTA_AVT_014,rules,metaverse_manager,authoritative,authoritative,Rol değişikliği anında geçerli olur mu?,Will the role change take effect immediately?,Güvenlik kontrolünden sonra bir sonraki oturumda uygulanır.,It will be applied in the next session after the security check.,KNOWLEDGE_CHECK,ask_information,neutral,character_relationship,easy,"rol_degisim, oturum, guvenlik","role_change, session, security"
13461,RLP_MTA_LAN_011,rules,metaverse_manager,authoritative,authoritative,Donanım aşırı ısınması neye sebep olur?,What causes hardware overheating?,Sistem kapanması ve performans kaybına sebep olur.,This causes system shutdowns and performance degradation.,KNOWLEDGE_CHECK,ask_information,neutral,failure_feedback,easy,"isinma, donanim, performans","warming, hardware, performance"
13569,RLP_MTA_PLA_032,rules,metaverse_manager,authoritative,authoritative,Görevler kişiselleştirilebilir mi?,Can tasks be personalized?,Rol ve yetkiye göre kişiselleştirilebilir.,It can be customized according to role and authority.,KNOWLEDGE_CHECK,ask_information,neutral,world_event,easy,"kisisellestirme, rol, yetki","personalization, role, authority"
14810,RLP_CRS_MYA_652,crisis,crisis_manager,authoritative,authoritative,Normalleşme neden planlı ilerlemelidir,Why should normalization proceed in a planned manner?, Ani geçişlerin yeni risk doğurmasını önlemek için.,To prevent sudden transitions from creating new risks.,ACADEMIC_OVERVIEW,ask_information,neutral,debriefing,easy,"planlama, risk_azaltma, surec","planning, risk_reduction, process"
15352,RLP_FAM_ADP_044,family,family_expert,empathetic,empathetic,Rol model ebeveyn ne sağlar,What does a role model parent provide?, ⁠Olumlu davranış gelişimini destekler.,It supports the development of positive behavior.,AWARENESS_BUILD,ask_information,empathetic,dialogue_choice,easy,"eleştiri, kırılganlık, benlik","criticism, vulnerability, self"
15801,RLP_MET_ETI_043,metaverse_ınformation,information_expert,guiding,guiding,Dijital sorumluluk toplulukları nasıl etkiler?,How does digital responsibility affect communities?,Güvenli ve sürdürülebilir ortam sağlar.,It provides a safe and sustainable environment.,ACADEMIC_OVERVIEW,ask_information,informative,tutorial,easy,"topluluk, sürdürülebilirlik, etik","community, sustainability, ethics"
16318,RLP_CRS_MTA_460,crisis,crisis_manager,authoritative,authoritative,Kriz anında mesaj sıralaması neden önemlidir?,Why is message order important during a crisis?,Bilgi karmaşasını önler.,It prevents information overload.,ACADEMIC_OVERVIEW,ask_information,neutral,emergency,easy,"mesaj_sirasi, karmasa, yonetim","message_order, complexity, management"
16575,RLP_CRS_MTX_017,crisis,crisis_manager,authoritative,authoritative,Kayıtların zaman damgası neden önemlidir?,Why is timestamping recordings important?,Olay sırasını doğru analiz etmeyi sağlar.,It enables an accurate analysis of the sequence of events.,ACADEMIC_OVERVIEW,ask_information,neutral,emergency,easy,"zaman_damgasi, sira, analiz","timestamp, sequence, analysis"
